2017-03-05 10:52:44,269 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Meritnation:Meritnation:0.0.1-SNAPSHOT @ C:\Users\dsood1\Framework19Feb1100\Meritnation\pom.xml.
2017-03-05 10:52:45,162 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Meritnation/src
2017-03-05 10:52:45,162 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Meritnation/src overlaps with sources folder /Meritnation/src
2017-03-05 10:52:45,172 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Meritnation/src/test/java because it overlaps with /Meritnation/src
2017-03-05 10:52:46,649 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-05 10:52:47,539 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Meritnation:Meritnation:0.0.1-SNAPSHOT @ C:\Users\dsood1\Framework19Feb1100\Meritnation\pom.xml.
2017-03-05 10:52:47,894 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:52:47,914 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-05 10:52:47,926 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:52:47,927 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 10:52:48,129 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Meritnation:Meritnation:0.0.1-SNAPSHOT @ C:\Users\dsood1\Framework19Feb1100\Meritnation\pom.xml.
2017-03-05 10:52:48,455 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Meritnation/src
2017-03-05 10:52:48,456 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Meritnation/src overlaps with sources folder /Meritnation/src
2017-03-05 10:52:48,472 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Meritnation/src/test/java because it overlaps with /Meritnation/src
2017-03-05 10:52:49,200 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-03-05 10:52:49,335 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:52:49,337 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-05 10:52:49,341 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:52:49,342 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 10:57:24,479 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Meritnation:Meritnation:0.0.1-SNAPSHOT @ C:\Users\dsood1\Framework19Feb1100\Meritnation\pom.xml.
2017-03-05 10:57:25,495 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 10:57:25,495 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 10:57:25,505 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 10:57:26,625 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:57:26,625 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 10:57:26,625 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:57:26,625 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 10:57:28,669 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 10:57:28,679 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 10:57:28,679 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-03-05 10:57:29,339 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:57:29,339 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 10:57:29,339 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 10:57:29,339 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 10:58:33,257 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 10:58:33,257 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:07:51,573 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:07:51,573 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:07:51,573 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:07:51,583 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:07:57,376 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:07:57,376 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:07:57,376 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:07:57,376 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:09:29,580 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:09:29,580 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:09:29,580 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:09:29,580 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:09:30,670 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:09:30,670 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:09:30,670 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:09:30,670 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:10:48,354 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:10:48,354 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:10:48,354 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:10:48,354 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:11:05,316 [Worker-40] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:11:05,316 [Worker-40] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:12:04,520 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:12:04,520 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:12:04,530 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:12:04,530 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:12:10,140 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:12:10,140 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:13:43,576 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
